見せる,みせる,to show; to display
言葉,ことば,language; dialect / word; words; phrase; term; expression; remark / speech; (manner of) speaking / learning to speak; language acquisition
五,ご,five
午後,ごご,afternoon; p.m.
午前,ごぜん,morning; a.m.
後,あと,behind; rear / after; later / after one's death / remainder; the rest / descendant; successor; heir / more (e.g. five more minutes); left / also; in addition / past; previous
今月,こんげつ,this month
左,ひだり,left; left hand side
仕事,しごと,work; job; business; occupation; employment; vocation; task / work
私,わたし,I; me / private affairs; personal matter; secrecy / selfishness
時間,じかん,time / hour
自動車,じどうしゃ,automobile
自分,じぶん,myself; yourself; oneself; himself; herself / I; me / you
質問,しつもん,question; inquiry; enquiry
写真,しゃしん,photograph; photo; picture; snapshot; snap / movie
車,くるま,car; automobile; vehicle / wheel
手,て,"hand; arm / forepaw; foreleg / handle / hand; worker; help / trouble; care; effort / means; way; trick; move; technique; workmanship / hand; handwriting / kind; type; sort / one's hands; one's possession / ability to cope / hand (of cards) / direction / move (in go, shogi, etc.)"
秋,あき,autumn; fall
春,はる,"spring; springtime / New Year / prime (of one's life, etc.) / adolescence; puberty / sexuality"
少し,すこし,small quantity; little; few; something / little while / short distance
上げる,あげる,"to raise; to elevate / to do up (one's hair) / to fly (a kite, etc.); to launch (fireworks, etc.); to surface (a submarine, etc.) / to land (a boat) / to deep-fry / to show someone (into a room) / to summon (for geishas, etc.) / to send someone (away) / to enrol (one's child in school); to enroll / to increase (price, quality, status, etc.); to develop (talent, skill); to improve / to make (a loud sound); to raise (one's voice) / to earn (something desirable) / to praise / to give (an example, etc.); to cite / to summon up (all of one's energy, etc.) / to arrest / to nominate / to give / to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.) / to bear (a child) / to conduct (a ceremony, esp. a wedding) / (of the tide) to come in / to vomit / to do for (the sake of someone else) / to complete ... / to humbly do ..."
新聞,しんぶん,newspaper
水,みず,"water (esp. cool, fresh water, e.g. drinking water) / fluid (esp. in an animal tissue); liquid / flood; floodwaters / water offered to wrestlers just prior to a bout / break granted to wrestlers engaged in a prolonged bout"
声,こえ,voice / singing (of a bird); chirping (of an insect); hoot / voice; opinion (as expressed in words); view; wish; attitude; will / sound / sense (of something's arrival); feeling / voice; voiced sound
千,せん,"1,000; thousand"
大学,だいがく,university; college / former central university of Kyoto (established under the ritsuryo system for the training of government administrators) / the Great Learning (one of the Four Books)
男,おとこ,man; male / fellow; guy; chap; bloke / male lover; boyfriend; man / manliness; manly honor; manly honour; manly reputation
電話,でんわ,telephone call; phone call / telephone (device); phone
東,ひがし,east
道,みち,"road; path; street; lane; passage / route; way / distance; journey / road (e.g. to victory); course / way (of living, proper conduct, etc.); moral principles / teachings (esp. Confucian or Buddhist); dogma / field (e.g. of medicine); subject; speciality / means; way; method"
南,みなみ,south
二,に,two
百,ひゃく,100; hundred
病院,びょういん,hospital
北,きた,north / the North; northern territories / North Korea / north wind
毎日,まいにち,every day
木,き,tree; shrub; bush / wood; timber
問題,もんだい,"question (e.g. on a test); problem / problem (e.g. societal, political); question; issue; subject (e.g. of research); case; matter / question (i.e. doubt) / public discussion; controversy / trouble; problem; inconvenience; difficulty"
来年,らいねん,next year
一人,ひとり,one person / alone; unmarried; solitary
九,きゅう,nine
今年,ことし,this year
三,さん,three / tri-
四,よん,four
十,じゅう,ten
二人,ふたり,two persons; two people; pair; couple
八,はち,eight
六,ろく,six
国,くに,"country; state / region / national government; central government / home (i.e. hometown, home country) / province (of Japan) / land; earth"
話,はなし,talk; speech; chat; story; conversation / discussions; negotiation; argument
一緒,いっしょ,together / at the same time / same; identical
雨,あめ,rain
英語,えいご,English (language)
海,うみ,sea; ocean; waters
外,そと,outside; exterior / open air / other place
結婚,けっこん,marriage
呼ぶ,よぶ,"to call out (to); to call; to invoke / to summon (a doctor, etc.) / to invite / to designate; to name; to brand / to garner (support, etc.); to gather / to take as one's wife"
公園,こうえん,(public) park
口,くち,"mouth / opening; hole; gap; orifice / mouth (of a bottle); spout; nozzle; mouthpiece / gate; door; entrance; exit / speaking; speech; talk (i.e. gossip) / taste; palate / mouth (to feed) / opening (i.e. vacancy); available position / invitation; summons / kind; sort; type / opening (i.e. beginning) / counter for mouthfuls, shares (of money), and swords"
雑誌,ざっし,journal; magazine; periodical
山,やま,mountain; hill / mine (e.g. coal mine) / heap; pile / crown (of a hat); thread (of a screw); tread (of a tire); protruding part of an object / climax; peak; critical point / guess; speculation / criminal case; crime / mountain climbing; mountaineering / festival float (esp. one mounted with a decorative halberd) / wall; wall tile / temple; temple grounds / wild
使う,つかう,"to use (a thing, method, etc.); to make use of; to put to use / to use (a person, animal, puppet, etc.); to employ; to handle; to manage; to manipulate / to use (time, money, etc.); to spend; to consume / to use (language); to speak"
女,おんな,female; woman; female sex / female lover; girlfriend; mistress; (someone's) woman
色,いろ,"colour; color; hue; tint; tinge; shade / complexion; skin colour; skin color / look (on one's face); expression / appearance; air; feeling / personality; character / tone (of one's voice, etc.); tune; sound; ring / love; lust; sensuality; love affair / lover; paramour / beauty; sexiness; physical appeal / kind; type; variety"
生徒,せいと,pupil; student; schoolchild
西,にし,west
先月,せんげつ,last month
先生,せんせい,"teacher; master; doctor / with names of teachers, etc. as an honorific / previous existence"
川,かわ,river; stream / River; the ... river
体,からだ,body / torso; trunk / build; physique; constitution / health / corpse; dead body
大切,たいせつ,important; necessary; indispensable / beloved; precious; dear; cherished; valuable / careful
大変,たいへん,very; greatly; terribly; awfully / immense; enormous; great / serious; grave; dreadful; terrible / difficult; hard / major incident; disaster
知る,しる,to be aware of; to know; to be conscious of; to cognize; to cognise / to notice; to feel / to understand; to comprehend; to grasp / to remember; to be acquainted with (a procedure) / to experience; to go through; to learn / to be acquainted with (a person); to get to know / to concern
電気,でんき,electricity / (electric) light
動物,どうぶつ,animal
二つ,ふたつ,two
年,とし,year / age; years / past one's prime; old age
半分,はんぶん,half
病気,びょうき,illness; disease; sickness
部屋,へや,room; chamber / apartment; flat; pad / stable
本当,ほんとう,truth; reality; actuality; fact / proper; right; correct; official / genuine; authentic; natural; veritable
名前,なまえ,name; full name / given name; first name
夜,よる,evening; night
旅行,りょこう,travel; trip; journey; excursion; tour
料理,りょうり,cooking; cookery; cuisine / dealing with something; handling; administration; management
練習,れんしゅう,practice; practising
一昨年,いっさくねん,year before last
何,なに,what / how many / large number of; many / you-know-what; that / whatsit; what's the expression; what do you call them / what? / hey!
魚,さかな,fish
今日,こんにち,today; this day / these days; recently; nowadays
町,まち,town; block; neighbourhood; neighborhood / street; road / 109.09 m / 0.99 hectares / downtown; main street
横,よこ,"horizontal (as opposed to vertical); lying down / side-to-side (as opposed to front-to-back); width; breadth / side (of a box, etc.) / beside; aside; next to / unconnected"
絵,え,picture; drawing; painting; sketch
教室,きょうしつ,classroom / department; laboratory / single-room school; small school
